foot_length_cm,foot_width_cm,category,gender,target_UK_size,target_EU_size,target_US_size,allowance_cm,effective_length_cm
26.2,9.9,Running,Female,9.5,44,11.5,1.5,27.7
26.6,9.6,Running,Female,10,44,12,1.5,28.1
25.5,10.2,Running,Female,9,42,11,1.5,27
24.2,9.6,Running,Female,7.5,41,9.5,1.5,25.7
26.7,10.2,Running,Female,10.5,44,12.5,1.5,28.2
23.4,8.8,Running,Female,6.5,39,8.5,1.5,24.9
22.2,8.4,Running,Female,5,38,7,1.5,23.7
23.8,9.4,Running,Female,7,40,9,1.5,25.3
26.2,9.6,Running,Female,9.5,44,11.5,1.5,27.7
24.4,8.8,Running,Female,7.5,41,9.5,1.5,25.9
24.4,9.1,Running,Female,7.5,41,9.5,1.5,25.9
25.4,10,Running,Female,9,42,11,1.5,26.9
23.5,8.8,Running,Female,6.5,40,8.5,1.5,25
25.7,9.7,Running,Female,9,43,11,1.5,27.2
22.3,9,Running,Female,5,38,7,1.5,23.8
24,9.2,Running,Female,7,40,9,1.5,25.5
24.3,8.9,Running,Female,7.5,41,9.5,1.5,25.8
26.3,8.9,Running,Female,10,44,12,1.5,27.8
23,9,Running,Female,6,39,8,1.5,24.5
24,9.1,Running,Female,7,40,9,1.5,25.5
22.7,8.6,Running,Female,5.5,38,7.5,1.5,24.2
23.6,9.6,Running,Female,6.5,40,8.5,1.5,25.1
25.5,9.9,Running,Female,9,42,11,1.5,27
25.9,10,Running,Female,9.5,43,11.5,1.5,27.4
26.1,9.4,Running,Female,9.5,43,11.5,1.5,27.6
23.3,9.4,Running,Female,6.5,39,8.5,1.5,24.8
25.9,9.7,Running,Female,9.5,43,11.5,1.5,27.4
24.4,8.6,Running,Female,7.5,41,9.5,1.5,25.9
24.1,8.6,Running,Female,7,40,9,1.5,25.6
25.5,9.3,Running,Female,9,42,11,1.5,27
24.4,9,Running,Female,7.5,41,9.5,1.5,25.9
24.7,9.2,Running,Female,8,41,10,1.5,26.2
23.4,8.7,Running,Female,6.5,39,8.5,1.5,24.9
26.7,9.6,Running,Female,10.5,44,12.5,1.5,28.2
27.3,9.7,Running,Female,11,45,13,1.5,28.8
23.9,8.7,Running,Female,7,40,9,1.5,25.4
23.7,9.4,Running,Female,7,40,9,1.5,25.2
23.3,8.9,Running,Female,6.5,39,8.5,1.5,24.8
22.9,9.1,Running,Female,6,39,8,1.5,24.4
23.4,8.7,Running,Female,6.5,39,8.5,1.5,24.9
24.8,9,Running,Female,8,41,10,1.5,26.3
22.6,9.5,Running,Female,5.5,38,7.5,1.5,24.1
25.4,9.3,Running,Female,9,42,11,1.5,26.9
23.4,10,Running,Female,6.5,39,8.5,1.5,24.9
25.3,9.7,Running,Female,8.5,42,10.5,1.5,26.8
23.6,8.7,Running,Female,6.5,40,8.5,1.5,25.1
24.9,8.7,Running,Female,8,42,10,1.5,26.4
23.8,9.1,Running,Female,7,40,9,1.5,25.3
23.8,9.4,Running,Female,7,40,9,1.5,25.3
25.7,9.2,Running,Female,9,43,11,1.5,27.2
25.3,8.9,Running,Female,8.5,42,10.5,1.5,26.8
25.8,9.3,Running,Female,9,43,11,1.5,27.3
23.8,8.9,Running,Female,7,40,9,1.5,25.3
26.9,9.3,Running,Female,10.5,45,12.5,1.5,28.4
22.7,8,Running,Female,5.5,38,7.5,1.5,24.2
25.5,9.1,Running,Female,9,42,11,1.5,27
23.6,9,Running,Female,6.5,40,8.5,1.5,25.1
27.4,10.1,Running,Female,11,45,13,1.5,28.9
25.1,9.1,Running,Female,8.5,42,10.5,1.5,26.6
23.9,9.1,Running,Female,7,40,9,1.5,25.4
25.4,9.7,Running,Female,9,42,11,1.5,26.9
24.5,9.5,Running,Female,7.5,41,9.5,1.5,26
25.5,10,Running,Female,9,42,11,1.5,27
24.3,8.9,Running,Female,7.5,41,9.5,1.5,25.8
25.4,9.9,Running,Female,9,42,11,1.5,26.9
23.4,8.7,Running,Female,6.5,39,8.5,1.5,24.9
25.5,10.4,Running,Female,9,42,11,1.5,27
25.2,9.2,Running,Female,8.5,42,10.5,1.5,26.7
23.7,8.7,Running,Female,7,40,9,1.5,25.2
24.5,9.7,Running,Female,7.5,41,9.5,1.5,26
23.7,9.1,Running,Female,7,40,9,1.5,25.2
23.6,8.9,Running,Female,6.5,40,8.5,1.5,25.1
24.4,9.4,Running,Female,7.5,41,9.5,1.5,25.9
24.7,9.7,Running,Female,8,41,10,1.5,26.2
24.7,9.7,Running,Female,8,41,10,1.5,26.2
24.3,9.1,Running,Female,7.5,41,9.5,1.5,25.8
27.1,9.9,Running,Female,11,45,13,1.5,28.6
23.4,9.2,Running,Female,6.5,39,8.5,1.5,24.9
23.5,9.4,Running,Female,6.5,40,8.5,1.5,25
24.7,9.7,Running,Female,8,41,10,1.5,26.2
22.8,8.8,Running,Female,5.5,38,7.5,1.5,24.3
23.5,9.6,Running,Female,6.5,40,8.5,1.5,25
23.7,8.9,Running,Female,7,40,9,1.5,25.2
24.6,8.8,Running,Female,8,41,10,1.5,26.1
25,9,Running,Female,8.5,42,10.5,1.5,26.5
24.1,8.7,Running,Female,7,40,9,1.5,25.6
23.4,8.9,Running,Female,6.5,39,8.5,1.5,24.9
24.8,9.2,Running,Female,8,41,10,1.5,26.3
24.6,10.1,Running,Female,8,41,10,1.5,26.1
23.5,9,Running,Female,6.5,40,8.5,1.5,25
22.9,9,Running,Female,6,39,8,1.5,24.4
25.3,9.6,Running,Female,8.5,42,10.5,1.5,26.8
22.9,8.7,Running,Female,6,39,8,1.5,24.4
26,9.3,Running,Female,9.5,43,11.5,1.5,27.5
25.2,9.5,Running,Female,8.5,42,10.5,1.5,26.7
24.4,9.4,Running,Female,7.5,41,9.5,1.5,25.9
25.3,9.4,Running,Female,8.5,42,10.5,1.5,26.8
24.3,9.3,Running,Female,7.5,41,9.5,1.5,25.8
24.5,8.9,Running,Female,7.5,41,9.5,1.5,26
23.8,8.7,Running,Female,7,40,9,1.5,25.3
22.3,8.7,Running,Female,5,38,7,1.5,23.8
25.8,9.8,Running,Female,9,43,11,1.5,27.3
22.5,8.5,Running,Female,5.5,38,7.5,1.5,24
25.9,9.3,Running,Female,9.5,43,11.5,1.5,27.4
24.7,9.5,Running,Female,8,41,10,1.5,26.2
26.5,9.4,Running,Female,10,44,12,1.5,28
25.6,9.9,Running,Female,9,43,11,1.5,27.1
24.7,9.6,Running,Female,8,41,10,1.5,26.2
24.2,9.1,Running,Female,7.5,41,9.5,1.5,25.7
22.6,8.9,Running,Female,5.5,38,7.5,1.5,24.1
25.7,9.2,Running,Female,9,43,11,1.5,27.2
24.2,8.7,Running,Female,7.5,41,9.5,1.5,25.7
22.6,8.8,Running,Female,5.5,38,7.5,1.5,24.1
25.7,10.1,Running,Female,9,43,11,1.5,27.2
25.8,9.8,Running,Female,9,43,11,1.5,27.3
25.1,9.3,Running,Female,8.5,42,10.5,1.5,26.6
22.9,7.9,Running,Female,6,39,8,1.5,24.4
27.2,9,Running,Female,11,45,13,1.5,28.7
24.3,8.4,Running,Female,7.5,41,9.5,1.5,25.8
25,9.7,Running,Female,8.5,42,10.5,1.5,26.5
25,9.8,Running,Female,8.5,42,10.5,1.5,26.5
28.2,10.1,Running,Female,12,47,14,1.5,29.7
24.3,9.7,Running,Female,7.5,41,9.5,1.5,25.8
24.3,9.7,Running,Female,7.5,41,9.5,1.5,25.8
25.4,9.6,Running,Female,9,42,11,1.5,26.9
24.8,9.6,Running,Female,8,41,10,1.5,26.3
28.3,10,Running,Female,12,47,14,1.5,29.8
25.2,9.7,Running,Female,8.5,42,10.5,1.5,26.7
23.4,8.4,Running,Female,6.5,39,8.5,1.5,24.9
22.9,8.8,Running,Female,6,39,8,1.5,24.4
24.7,9.7,Running,Female,8,41,10,1.5,26.2
26,9.2,Running,Female,9.5,43,11.5,1.5,27.5
23.5,9.2,Running,Female,6.5,40,8.5,1.5,25
23.4,9.1,Running,Female,6.5,39,8.5,1.5,24.9
24.4,8.9,Running,Female,7.5,41,9.5,1.5,25.9
23.5,8.5,Running,Female,6.5,40,8.5,1.5,25
25.2,9.1,Running,Female,8.5,42,10.5,1.5,26.7
22,8.5,Running,Female,5,37,7,1.5,23.5
21.9,9.3,Running,Female,4.5,37,6.5,1.5,23.4
23,8.9,Running,Female,6,39,8,1.5,24.5
26.5,10,Running,Female,10,44,12,1.5,28
24.7,9,Running,Female,8,41,10,1.5,26.2
26.4,9.4,Running,Female,10,44,12,1.5,27.9
25.4,10,Running,Female,9,42,11,1.5,26.9
25.6,9.1,Running,Female,9,43,11,1.5,27.1
24.9,9.4,Running,Female,8,42,10,1.5,26.4
25.8,10.1,Running,Female,9,43,11,1.5,27.3
26.3,9.5,Running,Female,10,44,12,1.5,27.8
25,9.7,Running,Female,8.5,42,10.5,1.5,26.5
25.6,10.3,Running,Female,9,43,11,1.5,27.1
24.9,9.6,Running,Female,8,42,10,1.5,26.4
23.7,8.8,Running,Female,7,40,9,1.5,25.2
25.8,9.8,Running,Female,9,43,11,1.5,27.3
25.3,8.8,Running,Female,8.5,42,10.5,1.5,26.8
23.9,8.6,Running,Female,7,40,9,1.5,25.4
25.9,9.4,Running,Female,9.5,43,11.5,1.5,27.4
25.7,10.3,Running,Female,9,43,11,1.5,27.2
25.8,8.8,Running,Female,9,43,11,1.5,27.3
23.3,8.8,Running,Female,6.5,39,8.5,1.5,24.8
24.4,10.1,Running,Female,7.5,41,9.5,1.5,25.9
25.3,9.9,Running,Female,8.5,42,10.5,1.5,26.8
24.2,9.4,Running,Female,7.5,41,9.5,1.5,25.7
23.5,9.3,Running,Female,6.5,40,8.5,1.5,25
23.3,9.6,Running,Female,6.5,39,8.5,1.5,24.8
24.7,9.2,Running,Female,8,41,10,1.5,26.2
21.2,8.9,Running,Female,4,36,6,1.5,22.7
27.8,9.7,Running,Female,11.5,46,13.5,1.5,29.3
23.7,8.9,Running,Female,7,40,9,1.5,25.2
25.3,9.5,Running,Female,8.5,42,10.5,1.5,26.8
24.3,8.6,Running,Female,7.5,41,9.5,1.5,25.8
25.5,10.2,Running,Female,9,42,11,1.5,27
25.8,9.7,Running,Female,9,43,11,1.5,27.3
24.1,9.4,Running,Female,7,40,9,1.5,25.6
24.3,9.7,Running,Female,7.5,41,9.5,1.5,25.8
25.7,9.2,Running,Female,9,43,11,1.5,27.2
22.4,8.2,Running,Female,5,38,7,1.5,23.9
25.7,9.7,Running,Female,9,43,11,1.5,27.2
24.2,8.7,Running,Female,7.5,41,9.5,1.5,25.7
24.4,9,Running,Female,7.5,41,9.5,1.5,25.9
23.9,9.2,Running,Female,7,40,9,1.5,25.4
23.3,9.4,Running,Female,6.5,39,8.5,1.5,24.8
24.7,9.8,Running,Female,8,41,10,1.5,26.2
25.4,9.7,Running,Female,9,42,11,1.5,26.9
24.1,8.6,Running,Female,7,40,9,1.5,25.6
27.4,8.8,Running,Female,11,45,13,1.5,28.9
24.8,9.3,Running,Female,8,41,10,1.5,26.3
25,9.2,Running,Female,8.5,42,10.5,1.5,26.5
25.4,9.1,Running,Female,9,42,11,1.5,26.9
21.7,8.8,Running,Female,4.5,37,6.5,1.5,23.2
24.5,8.7,Running,Female,7.5,41,9.5,1.5,26
24.9,9.9,Running,Female,8,42,10,1.5,26.4
23.2,9.3,Running,Female,6,39,8,1.5,24.7
25.9,9.2,Running,Female,9.5,43,11.5,1.5,27.4
23.3,8.7,Running,Female,6.5,39,8.5,1.5,24.8
24.1,8.9,Running,Female,7,40,9,1.5,25.6
25.4,9.8,Running,Female,9,42,11,1.5,26.9
26.7,9.5,Running,Female,10.5,44,12.5,1.5,28.2
23.9,9.6,Running,Female,7,40,9,1.5,25.4
25,8.9,Running,Female,8.5,42,10.5,1.5,26.5
23.3,8.9,Running,Female,6.5,39,8.5,1.5,24.8
23.8,9,Running,Female,7,40,9,1.5,25.3
24,9.1,Running,Female,7,40,9,1.5,25.5
22.8,8.4,Running,Female,5.5,38,7.5,1.5,24.3
26.4,10,Running,Female,10,44,12,1.5,27.9
25.8,9.8,Running,Female,9,43,11,1.5,27.3
24.3,8.6,Running,Female,7.5,41,9.5,1.5,25.8
22.9,9.1,Running,Female,6,39,8,1.5,24.4
23.2,9.2,Running,Female,6,39,8,1.5,24.7
27.4,10.6,Running,Female,11,45,13,1.5,28.9
23.5,8.5,Running,Female,6.5,40,8.5,1.5,25
24.9,9.3,Running,Female,8,42,10,1.5,26.4
22.9,8.8,Running,Female,6,39,8,1.5,24.4
24.4,9.2,Running,Female,7.5,41,9.5,1.5,25.9
27,9.9,Running,Female,10.5,45,12.5,1.5,28.5
24.2,9.3,Running,Female,7.5,41,9.5,1.5,25.7
24.3,9.3,Running,Female,7.5,41,9.5,1.5,25.8
25.9,9.2,Running,Female,9.5,43,11.5,1.5,27.4
27.5,10.3,Running,Female,11.5,46,13.5,1.5,29
25.6,9.5,Running,Female,9,43,11,1.5,27.1
22.5,8.8,Running,Female,5.5,38,7.5,1.5,24
22.7,8.4,Running,Female,5.5,38,7.5,1.5,24.2
25.8,8.9,Running,Female,9,43,11,1.5,27.3
23.8,9.1,Running,Female,7,40,9,1.5,25.3
24.4,9.3,Running,Female,7.5,41,9.5,1.5,25.9
23.3,8.9,Running,Female,6.5,39,8.5,1.5,24.8
25.2,9.8,Running,Female,8.5,42,10.5,1.5,26.7
25.8,9.5,Running,Female,9,43,11,1.5,27.3
22.4,8.4,Running,Female,5,38,7,1.5,23.9
25.3,9.2,Running,Female,8.5,42,10.5,1.5,26.8
26.3,9.2,Running,Female,10,44,12,1.5,27.8
25.8,9.6,Running,Female,9,43,11,1.5,27.3
25.9,9.9,Running,Female,9.5,43,11.5,1.5,27.4
25.6,9.2,Running,Female,9,43,11,1.5,27.1
24.9,9.6,Running,Female,8,42,10,1.5,26.4
22.4,8.7,Running,Female,5,38,7,1.5,23.9
25.2,9.4,Running,Female,8.5,42,10.5,1.5,26.7
25.3,9.1,Running,Female,8.5,42,10.5,1.5,26.8
23.7,9.4,Running,Female,7,40,9,1.5,25.2
26.4,10.1,Running,Female,10,44,12,1.5,27.9
24.8,9,Running,Female,8,41,10,1.5,26.3
23.8,10.3,Running,Female,7,40,9,1.5,25.3
25.5,10.4,Running,Female,9,42,11,1.5,27
24.5,8.7,Running,Female,7.5,41,9.5,1.5,26
23.5,9.1,Running,Female,6.5,40,8.5,1.5,25
23.9,8.7,Running,Female,7,40,9,1.5,25.4
25.3,9.8,Running,Female,8.5,42,10.5,1.5,26.8
25.2,9.2,Running,Female,8.5,42,10.5,1.5,26.7
23.7,8.7,Running,Female,7,40,9,1.5,25.2
24.9,9.1,Running,Female,8,42,10,1.5,26.4
24.6,9.5,Running,Female,8,41,10,1.5,26.1
25.9,9.3,Running,Female,9.5,43,11.5,1.5,27.4
25.2,9.4,Running,Female,8.5,42,10.5,1.5,26.7
25.3,9.3,Running,Female,8.5,42,10.5,1.5,26.8
24.7,9.7,Running,Female,8,41,10,1.5,26.2
24.2,9.3,Running,Female,7.5,41,9.5,1.5,25.7
25.7,9.9,Running,Female,9,43,11,1.5,27.2
23.2,9.4,Running,Female,6,39,8,1.5,24.7
25.1,9.3,Running,Female,8.5,42,10.5,1.5,26.6
25.3,9.1,Running,Female,8.5,42,10.5,1.5,26.8
24.7,9.4,Running,Female,8,41,10,1.5,26.2
25,10,Running,Female,8.5,42,10.5,1.5,26.5
25.4,9.4,Running,Female,9,42,11,1.5,26.9
23.8,9,Running,Female,7,40,9,1.5,25.3
24.9,9.3,Running,Female,8,42,10,1.5,26.4
24.5,9,Running,Female,7.5,41,9.5,1.5,26
27,10.2,Running,Female,10.5,45,12.5,1.5,28.5
26.2,9.2,Running,Female,9.5,44,11.5,1.5,27.7
23.5,8.4,Running,Female,6.5,40,8.5,1.5,25
24.9,9.7,Running,Female,8,42,10,1.5,26.4
24.4,9,Running,Female,7.5,41,9.5,1.5,25.9
25.3,9.4,Running,Female,8.5,42,10.5,1.5,26.8
25,9.9,Running,Female,8.5,42,10.5,1.5,26.5
26.8,9.4,Running,Female,10.5,44,12.5,1.5,28.3
24.7,8.8,Running,Female,8,41,10,1.5,26.2
23.7,9.9,Running,Female,7,40,9,1.5,25.2
24.3,9.5,Running,Female,7.5,41,9.5,1.5,25.8
25,9.1,Running,Female,8.5,42,10.5,1.5,26.5
24.3,8.7,Running,Female,7.5,41,9.5,1.5,25.8
26.9,9.7,Running,Female,10.5,45,12.5,1.5,28.4
21.7,8.5,Running,Female,4.5,37,6.5,1.5,23.2
27.1,10.1,Running,Female,11,45,13,1.5,28.6
25.4,9.6,Running,Female,9,42,11,1.5,26.9
25.4,9.2,Running,Female,9,42,11,1.5,26.9
24,8.7,Running,Female,7,40,9,1.5,25.5
23.4,9.4,Running,Female,6.5,39,8.5,1.5,24.9
23.4,9.5,Running,Female,6.5,39,8.5,1.5,24.9
24.9,9.3,Running,Female,8,42,10,1.5,26.4
23.5,9.4,Running,Female,6.5,40,8.5,1.5,25
25.9,9.7,Running,Female,9.5,43,11.5,1.5,27.4
24.6,9.7,Running,Female,8,41,10,1.5,26.1
25.7,9.5,Running,Female,9,43,11,1.5,27.2
25.7,9.2,Running,Female,9,43,11,1.5,27.2
22.7,9.1,Running,Female,5.5,38,7.5,1.5,24.2
25.3,9.4,Running,Female,8.5,42,10.5,1.5,26.8
26,9.3,Running,Female,9.5,43,11.5,1.5,27.5
24,9,Running,Female,7,40,9,1.5,25.5
25.6,9,Running,Female,9,43,11,1.5,27.1
24.2,8.2,Running,Female,7.5,41,9.5,1.5,25.7
24.9,9.9,Running,Female,8,42,10,1.5,26.4
27.6,10.6,Running,Female,11.5,46,13.5,1.5,29.1
26.7,10.4,Running,Female,10.5,44,12.5,1.5,28.2
23.3,8.9,Running,Female,6.5,39,8.5,1.5,24.8
24.1,8.9,Running,Female,7,40,9,1.5,25.6
27.2,9.8,Running,Female,11,45,13,1.5,28.7
21.6,8.9,Running,Female,4.5,37,6.5,1.5,23.1
24,9.3,Running,Female,7,40,9,1.5,25.5
23.5,8.9,Running,Female,6.5,40,8.5,1.5,25
23.7,9.8,Running,Female,7,40,9,1.5,25.2
22.4,8.9,Running,Female,5,38,7,1.5,23.9
24.1,9.5,Running,Female,7,40,9,1.5,25.6
24.3,9.9,Running,Female,7.5,41,9.5,1.5,25.8
24.4,10,Running,Female,7.5,41,9.5,1.5,25.9
24.1,9.1,Running,Female,7,40,9,1.5,25.6
25.8,9.4,Running,Female,9,43,11,1.5,27.3
23.4,8.8,Running,Female,6.5,39,8.5,1.5,24.9
25,9.4,Running,Female,8.5,42,10.5,1.5,26.5
24.9,9.4,Running,Female,8,42,10,1.5,26.4
24.1,8.5,Running,Female,7,40,9,1.5,25.6
24.3,8.9,Running,Female,7.5,41,9.5,1.5,25.8
26.1,9.7,Running,Female,9.5,43,11.5,1.5,27.6
25.7,10.2,Running,Female,9,43,11,1.5,27.2
23.7,9.4,Running,Female,7,40,9,1.5,25.2
25.5,9.1,Running,Female,9,42,11,1.5,27
24.7,9.1,Running,Female,8,41,10,1.5,26.2
22.8,8.4,Running,Female,5.5,38,7.5,1.5,24.3
22.8,8.6,Running,Female,5.5,38,7.5,1.5,24.3
24.4,9.3,Running,Female,7.5,41,9.5,1.5,25.9
26.1,9,Running,Female,9.5,43,11.5,1.5,27.6
21.4,9.5,Running,Female,4,36,6,1.5,22.9
25.4,9.7,Running,Female,9,42,11,1.5,26.9
23,8.3,Running,Female,6,39,8,1.5,24.5
24.9,9.1,Running,Female,8,42,10,1.5,26.4
24.7,8.7,Running,Female,8,41,10,1.5,26.2
22.4,8.6,Running,Female,5,38,7,1.5,23.9
22.9,8.3,Running,Female,6,39,8,1.5,24.4
24.6,9,Running,Female,8,41,10,1.5,26.1
23.5,8.5,Running,Female,6.5,40,8.5,1.5,25
25.1,10,Running,Female,8.5,42,10.5,1.5,26.6
23.9,8.8,Running,Female,7,40,9,1.5,25.4
19.8,7.7,Running,Female,2,34,4,1.5,21.3
23.6,8.8,Running,Female,6.5,40,8.5,1.5,25.1
26.4,9.7,Running,Female,10,44,12,1.5,27.9
26.3,9.4,Running,Female,10,44,12,1.5,27.8
23.8,9.3,Running,Female,7,40,9,1.5,25.3
25,9.8,Running,Female,8.5,42,10.5,1.5,26.5
23.5,8.9,Running,Female,6.5,40,8.5,1.5,25
25.1,9.7,Running,Female,8.5,42,10.5,1.5,26.6
25.6,9.4,Running,Female,9,43,11,1.5,27.1
24.5,9.1,Running,Female,7.5,41,9.5,1.5,26
23.7,8.9,Running,Female,7,40,9,1.5,25.2
23,8.6,Running,Female,6,39,8,1.5,24.5
26.4,9.5,Running,Female,10,44,12,1.5,27.9
26.2,9.8,Running,Female,9.5,44,11.5,1.5,27.7
25.9,9.6,Running,Female,9.5,43,11.5,1.5,27.4
24.4,9.1,Running,Female,7.5,41,9.5,1.5,25.9
24.1,9.5,Running,Female,7,40,9,1.5,25.6
26.6,9.5,Running,Female,10,44,12,1.5,28.1
22.5,9.2,Running,Female,5.5,38,7.5,1.5,24
24.2,9.6,Running,Female,7.5,41,9.5,1.5,25.7
24.7,8.5,Running,Female,8,41,10,1.5,26.2
22.4,9,Running,Female,5,38,7,1.5,23.9
25.4,9.8,Running,Female,9,42,11,1.5,26.9
23.4,8.9,Running,Female,6.5,39,8.5,1.5,24.9
22.3,8.5,Running,Female,5,38,7,1.5,23.8
26.6,9.6,Running,Female,10,44,12,1.5,28.1
23.3,9.2,Running,Female,6.5,39,8.5,1.5,24.8
24.2,8.8,Running,Female,7.5,41,9.5,1.5,25.7
26.1,9.9,Running,Female,9.5,43,11.5,1.5,27.6
24.9,9.9,Running,Female,8,42,10,1.5,26.4
22.5,8.7,Running,Female,5.5,38,7.5,1.5,24
25.4,9.6,Running,Female,9,42,11,1.5,26.9
24.3,9,Running,Female,7.5,41,9.5,1.5,25.8
23,8.8,Running,Female,6,39,8,1.5,24.5
22.8,8.8,Running,Female,5.5,38,7.5,1.5,24.3
22.8,8.6,Running,Female,5.5,38,7.5,1.5,24.3
24.9,9.4,Running,Female,8,42,10,1.5,26.4
25.6,10.1,Running,Female,9,43,11,1.5,27.1
23.7,9.3,Running,Female,7,40,9,1.5,25.2
25.2,9.4,Running,Female,8.5,42,10.5,1.5,26.7
24.2,8.1,Running,Female,7.5,41,9.5,1.5,25.7
24.4,9.5,Running,Female,7.5,41,9.5,1.5,25.9
25.6,9.5,Running,Female,9,43,11,1.5,27.1
24.8,8.8,Running,Female,8,41,10,1.5,26.3
24,9,Running,Female,7,40,9,1.5,25.5
25.4,9.7,Running,Female,9,42,11,1.5,26.9
24.2,9.4,Running,Female,7.5,41,9.5,1.5,25.7
22.4,8.3,Running,Female,5,38,7,1.5,23.9
24.1,9.4,Running,Female,7,40,9,1.5,25.6
24.3,9.8,Running,Female,7.5,41,9.5,1.5,25.8
24.1,8.4,Running,Female,7,40,9,1.5,25.6
23.8,9.6,Running,Female,7,40,9,1.5,25.3
26.8,9.9,Running,Female,10.5,44,12.5,1.5,28.3
25.2,9.3,Running,Female,8.5,42,10.5,1.5,26.7
25.4,9.2,Running,Female,9,42,11,1.5,26.9
22.7,9.4,Running,Female,5.5,38,7.5,1.5,24.2
23,9,Running,Female,6,39,8,1.5,24.5
26.2,9.2,Running,Female,9.5,44,11.5,1.5,27.7
25.3,9,Running,Female,8.5,42,10.5,1.5,26.8
25.9,10,Running,Female,9.5,43,11.5,1.5,27.4
24.9,9.2,Running,Female,8,42,10,1.5,26.4
25.3,9.4,Running,Female,8.5,42,10.5,1.5,26.8
25.5,9.6,Running,Female,9,42,11,1.5,27
23.4,9.4,Running,Female,6.5,39,8.5,1.5,24.9
25.2,9.6,Running,Female,8.5,42,10.5,1.5,26.7
26.1,8.9,Running,Female,9.5,43,11.5,1.5,27.6
27.2,8.5,Running,Female,11,45,13,1.5,28.7
24.3,7.7,Running,Female,7.5,41,9.5,1.5,25.8
25.2,9.7,Running,Female,8.5,42,10.5,1.5,26.7
25.3,9.9,Running,Female,8.5,42,10.5,1.5,26.8
25.8,9.9,Running,Female,9,43,11,1.5,27.3
23.4,8.3,Running,Female,6.5,39,8.5,1.5,24.9
25.2,8.9,Running,Female,8.5,42,10.5,1.5,26.7
24.4,8.9,Running,Female,7.5,41,9.5,1.5,25.9
26.4,9.2,Running,Female,10,44,12,1.5,27.9
25,9,Running,Female,8.5,42,10.5,1.5,26.5
27.2,10.2,Running,Female,11,45,13,1.5,28.7
23.7,9.6,Running,Female,7,40,9,1.5,25.2
23.9,9.9,Running,Female,7,40,9,1.5,25.4
23.9,9.9,Running,Female,7,40,9,1.5,25.4
24.9,9.6,Running,Female,8,42,10,1.5,26.4
27.4,9.8,Running,Female,11,45,13,1.5,28.9
25.3,9.8,Running,Female,8.5,42,10.5,1.5,26.8
25.2,9.4,Running,Female,8.5,42,10.5,1.5,26.7
27.8,10.4,Running,Female,11.5,46,13.5,1.5,29.3
24.5,9.4,Running,Female,7.5,41,9.5,1.5,26
23.7,9.3,Running,Female,7,40,9,1.5,25.2
25.3,9.5,Running,Female,8.5,42,10.5,1.5,26.8
23.8,9.1,Running,Female,7,40,9,1.5,25.3
25.6,9.4,Running,Female,9,43,11,1.5,27.1
24.4,9.4,Running,Female,7.5,41,9.5,1.5,25.9
23.8,9.7,Running,Female,7,40,9,1.5,25.3
25.2,9.3,Running,Female,8.5,42,10.5,1.5,26.7
23.5,9.1,Running,Female,6.5,40,8.5,1.5,25
24.8,9.8,Running,Female,8,41,10,1.5,26.3
25.3,9.8,Running,Female,8.5,42,10.5,1.5,26.8
25.6,9.1,Running,Female,9,43,11,1.5,27.1
26.6,9.9,Running,Female,10,44,12,1.5,28.1
21.7,8.6,Running,Female,4.5,37,6.5,1.5,23.2
24.1,9.2,Running,Female,7,40,9,1.5,25.6
22.2,8.8,Running,Female,5,38,7,1.5,23.7
24.9,8.6,Running,Female,8,42,10,1.5,26.4
24.5,9.3,Running,Female,7.5,41,9.5,1.5,26
25.2,9.6,Running,Female,8.5,42,10.5,1.5,26.7
26.2,10.2,Running,Female,9.5,44,11.5,1.5,27.7
23.7,8.8,Running,Female,7,40,9,1.5,25.2
24.7,10.1,Running,Female,8,41,10,1.5,26.2
24.7,9.4,Running,Female,8,41,10,1.5,26.2
24,9.2,Running,Female,7,40,9,1.5,25.5
24.3,9.4,Running,Female,7.5,41,9.5,1.5,25.8
24.5,9.5,Running,Female,7.5,41,9.5,1.5,26
24.5,9.7,Running,Female,7.5,41,9.5,1.5,26
25.2,9.3,Running,Female,8.5,42,10.5,1.5,26.7
25.5,9.3,Running,Female,9,42,11,1.5,27
25.1,9.4,Running,Female,8.5,42,10.5,1.5,26.6
25.6,9.7,Running,Female,9,43,11,1.5,27.1
26.3,9.5,Running,Female,10,44,12,1.5,27.8
24.7,9,Running,Female,8,41,10,1.5,26.2
23.7,8.4,Running,Female,7,40,9,1.5,25.2
25.7,9.4,Running,Female,9,43,11,1.5,27.2
25.2,9.2,Running,Female,8.5,42,10.5,1.5,26.7
24,9.5,Running,Female,7,40,9,1.5,25.5
25.3,9.8,Running,Female,8.5,42,10.5,1.5,26.8
26.7,9.7,Running,Female,10.5,44,12.5,1.5,28.2
24.4,9.4,Running,Female,7.5,41,9.5,1.5,25.9
24.3,9.2,Running,Female,7.5,41,9.5,1.5,25.8
26,9.6,Running,Female,9.5,43,11.5,1.5,27.5
22.9,9.1,Running,Female,6,39,8,1.5,24.4
25.5,9.2,Running,Female,9,42,11,1.5,27
25.6,10,Running,Female,9,43,11,1.5,27.1
25.3,9.2,Running,Female,8.5,42,10.5,1.5,26.8
25.2,10.4,Running,Female,8.5,42,10.5,1.5,26.7
24.1,8.9,Running,Female,7,40,9,1.5,25.6
25.2,9.5,Running,Female,8.5,42,10.5,1.5,26.7
